Rank,Name,Year,Rating
1,Planet Earth II,2016,9.4
2,Breaking Bad,2008,9.4
3,Planet Earth,2006,9.4
4,Band of Brothers,2001,9.4
5,Chernobyl,2019,9.3
6,The Wire,2002,9.3
7,Avatar: The Last Airbender,2005,9.2
8,Blue Planet II,2017,9.2
9,The Sopranos,1999,9.2
10,Cosmos: A Spacetime Odyssey,2014,9.2
11,Cosmos,1980,9.2
12,Our Planet,2019,9.2
13,Game of Thrones,2011,9.1
14,The World at War,1973,9.1
15,Rick and Morty,2013,9.1
16,Hagane no renkinjutsushi,2009,9.0
17,The Last Dance,2020,9.0
18,Life,2009,9.0
19,The Twilight Zone,1959,9.0
20,Sherlock,2010,9.0
21,Bluey,2018,9.0
22,The Vietnam War,2017,9.0
23,Batman: The Animated Series,1992,9.0
24,Scam 1992: The Harshad Mehta Story,2020,8.9
25,Shingeki no Kyojin,2013,8.9
26,Arcane: League of Legends,2021,8.9
27,The Blue Planet,2001,8.9
28,The Office,2005,8.9
29,Firefly,2002,8.9
30,Human Planet,2011,8.9
31,Frozen Planet,2011,8.9
32,Death Note: Desu nôto,2006,8.9
33,Better Call Saul,2015,8.9
34,Clarkson's Farm,2021,8.9
35,Only Fools and Horses....,1981,8.9
36,The Civil War,1990,8.9
37,Hunter x Hunter,2011,8.9
38,True Detective,2014,8.9
39,Seinfeld,1989,8.9
40,Dekalog,1989,8.9
41,Sahsiyet,2018,8.9
42,The Beatles: Get Back,2021,8.9
43,Fargo,2014,8.9
44,Kaubôi bibappu: Cowboy Bebop,1998,8.9
45,Nathan for You,2013,8.8
46,Gravity Falls,2012,8.8
47,When They See Us,2019,8.8
48,Last Week Tonight with John Oliver,2014,8.8
49,Friends,1994,8.8
50,The Last of Us,2023,8.8
51,Apocalypse: La 2ème guerre mondiale,2009,8.8
52,Africa,2013,8.8
53,TVF Pitchers,2015,8.8
54,It's Always Sunny in Philadelphia,2005,8.8
55,Monty Python's Flying Circus,1969,8.8
56,Taskmaster,2015,8.8
57,Das Boot,1985,8.8
58,The West Wing,1999,8.8
59,Curb Your Enthusiasm,2000,8.8
60,Gibi,2021,8.8
61,Leyla ile Mecnun,2011,8.8
62,Fawlty Towers,1975,8.8
63,Pride and Prejudice,1995,8.8
64,Freaks and Geeks,1999,8.7
65,Blackadder Goes Forth,1989,8.7
66,Twin Peaks,1990,8.7
67,BoJack Horseman,2014,8.7
68,Succession,2018,8.7
69,Black Mirror,2011,8.7
70,Narcos,2015,8.7
71,Dragon Ball Z,1989,8.7
72,Chappelle's Show,2003,8.7
73,One Piece: Wan pîsu,1999,8.7
74,Dragon Ball Z: Doragon bôru zetto,1989,8.7
75,"I, Claudius",1976,8.7
76,South Park,1997,8.7
77,Over the Garden Wall,2014,8.7
78,Rome,2005,8.7
79,Six Feet Under,2001,8.7
80,Ted Lasso,2020,8.7
81,Kota Factory,2019,8.7
82,Peaky Blinders,2013,8.7
83,Oz,1997,8.7
84,Dark,2017,8.7
85,Steins;Gate,2011,8.7
86,The Boys,2019,8.7
87,Arrested Development,2003,8.7
88,The Mandalorian,2019,8.7
89,Fleabag,2016,8.7
90,The Simpsons,1989,8.7
91,Gullak,2019,8.7
92,One Punch Man: Wanpanman,2015,8.7
93,The Shield,2002,8.6
94,Battlestar Galactica,2004,8.6
95,House M.D.,2004,8.6
96,Panchayat,2020,8.6
97,Downton Abbey,2010,8.6
98,Vinland Saga,2019,8.6
99,Stranger Things,2016,8.6
100,Invincible,2021,8.6
101,Severance,2022,8.6
102,Mad Men,2007,8.6
103,Sarabhai V/S Sarabhai,2004,8.6
104,Peep Show,2003,8.6
105,Star Trek: The Next Generation,1987,8.6
106,The Adventures of Sherlock Holmes,1984,8.6
107,The Marvelous Mrs. Maisel,2017,8.6
108,Kenpuu Denki Berserk,1997,8.6
109,Friday Night Lights,2006,8.6
110,House of Cards,2013,8.6
111,The Grand Tour,2016,8.6
112,Top Gear,2002,8.6
113,Justice League Unlimited,2004,8.6
114,1883,2021,8.6
115,The Thick of It,2005,8.6
116,Line of Duty,2012,8.6
117,The Crown,2016,8.6
118,Mahabharat,1988,8.6
119,Aspirants,2021,8.6
120,Behzat Ç.: Bir Ankara Polisiyesi,2010,8.6
121,Father Ted,1995,8.6
122,Deadwood,2004,8.6
123,Parks and Recreation,2009,8.6
124,The X Files,1993,8.6
